"word,""count"",""Filename"";""Filename"""
"happened,""7"",""2020-06-11.csv"";"
"using,""7"",""2020-06-11.csv"";"
"wrong,""7"",""2020-06-11.csv"";"
"police,""7"",""2020-06-11.csv"";"
"until,""7"",""2020-06-11.csv"";"
"else,""7"",""2020-06-11.csv"";"
"actually,""7"",""2020-06-11.csv"";"
"change,""7"",""2020-06-11.csv"";"
"thousands,""7"",""2020-06-11.csv"";"
"john,""7"",""2020-06-11.csv"";"
"debate,""7"",""2020-06-11.csv"";"
"could,""7"",""2020-06-11.csv"";"
"fight,""7"",""2020-06-11.csv"";"
"approach,""7"",""2020-06-11.csv"";"
"problem,""7"",""2020-06-11.csv"";"
"number,""7"",""2020-06-11.csv"";"
"move,""7"",""2020-06-11.csv"";"
"party,""7"",""2020-06-11.csv"";"
"found,""7"",""2020-06-11.csv"";"
"rosenna,""7"",""2020-06-11.csv"";"
"hospitality,""7"",""2020-06-11.csv"";"
"1,""7"",""2020-06-11.csv"";"
"adjustments,""7"",""2020-06-11.csv"";"
"safe,""7"",""2020-06-11.csv"";"
"everything,""7"",""2020-06-11.csv"";"
"25000,""7"",""2020-06-11.csv"";"
"tests,""7"",""2020-06-11.csv"";"
"lets,""7"",""2020-06-11.csv"";"
"trust,""7"",""2020-06-11.csv"";"
"assumptions,""7"",""2020-06-11.csv"";"
"leader,""6"",""2020-06-11.csv"";"
"cymru,""6"",""2020-06-11.csv"";"
"worked,""6"",""2020-06-11.csv"";"
"hotels,""6"",""2020-06-11.csv"";"
"commit,""6"",""2020-06-11.csv"";"
"doubt,""6"",""2020-06-11.csv"";"
"late,""6"",""2020-06-11.csv"";"
"difficult,""6"",""2020-06-11.csv"";"
"status,""6"",""2020-06-11.csv"";"
"bristol,""6"",""2020-06-11.csv"";"
"understand,""6"",""2020-06-11.csv"";"
"enough,""6"",""2020-06-11.csv"";"
"greater,""6"",""2020-06-11.csv"";"
"authorities,""6"",""2020-06-11.csv"";"
"live,""6"",""2020-06-11.csv"";"
"read,""6"",""2020-06-11.csv"";"
"makes,""6"",""2020-06-11.csv"";"
"happen,""6"",""2020-06-11.csv"";"
"feel,""6"",""2020-06-11.csv"";"
"went,""6"",""2020-06-11.csv"";"
"hands,""6"",""2020-06-11.csv"";"
"profited,""6"",""2020-06-11.csv"";"
"try,""6"",""2020-06-11.csv"";"
"nonetheless,""6"",""2020-06-11.csv"";"
"economic,""6"",""2020-06-11.csv"";"
"ethnic,""6"",""2020-06-11.csv"";"
"minority,""6"",""2020-06-11.csv"";"
"every,""6"",""2020-06-11.csv"";"
"forward,""6"",""2020-06-11.csv"";"
"matter,""6"",""2020-06-11.csv"";"
"stay,""6"",""2020-06-11.csv"";"
"small,""6"",""2020-06-11.csv"";"
"criminal,""6"",""2020-06-11.csv"";"
"understanding,""6"",""2020-06-11.csv"";"
"learn,""6"",""2020-06-11.csv"";"
"changes,""6"",""2020-06-11.csv"";"
"dealt,""6"",""2020-06-11.csv"";"
"talked,""6"",""2020-06-11.csv"";"
"positive,""6"",""2020-06-11.csv"";"
"background,""6"",""2020-06-11.csv"";"
