word,count,Filename
34,4,16/01/2020
34,3,27/02/2020
35,2,27/02/2020
35,2,12/03/2020
35,2,26/03/2020
35,1,05/11/2020
36,2,07/05/2020
37,1,24/09/2020
37,2,08/10/2020
38,1,30/01/2020
39,6,23/01/2020
40,2,09/01/2020
40,1,23/01/2020
40,2,06/02/2020
40,1,13/02/2020
40,2,26/03/2020
40,1,02/04/2020
40,4,14/05/2020
40,2,18/06/2020
40,3,25/06/2020
40,1,08/10/2020
40,4,15/10/2020
40,2,22/10/2020
41,1,26/11/2020
42,3,14/05/2020
43,1,09/01/2020
44,1,09/01/2020
44,1,03/12/2020
45,10,13/02/2020
45,1,27/02/2020
45,1,07/05/2020
45,1,04/06/2020
46,1,12/03/2020
46,2,28/05/2020
47,1,18/06/2020
48,2,19/03/2020
48,1,26/03/2020
48,1,16/04/2020
48,1,11/06/2020
48,3,18/06/2020
50,2,09/01/2020
50,9,16/01/2020
50,15,23/01/2020
50,12,30/01/2020
50,1,06/02/2020
50,22,13/02/2020
50,18,27/02/2020
50,20,05/03/2020
50,6,12/03/2020
50,4,19/03/2020
50,1,26/03/2020
50,22,02/04/2020
50,28,16/04/2020
50,4,30/04/2020
50,8,07/05/2020
50,22,14/05/2020
50,3,21/05/2020
50,3,28/05/2020
50,6,04/06/2020
50,2,11/06/2020
50,3,18/06/2020
50,8,25/06/2020
50,6,17/09/2020
50,5,24/09/2020
50,2,01/10/2020
50,5,08/10/2020
50,1,15/10/2020
50,2,29/10/2020
50,3,05/11/2020
50,7,12/11/2020
50,4,19/11/2020
50,3,26/11/2020
50,20,03/12/2020
50,14,10/12/2020
51,1,05/03/2020
51,1,04/06/2020
51,1,15/10/2020
51,1,29/10/2020
52,2,04/06/2020
52,2,17/09/2020
54,2,16/01/2020
54,1,17/09/2020
55,4,13/02/2020
55,1,27/02/2020
55,1,25/06/2020
55,1,17/09/2020
55,2,29/10/2020
56,1,12/11/2020
57,2,02/04/2020
58,1,15/10/2020
60,3,23/01/2020
60,2,30/01/2020
60,5,13/02/2020
60,3,26/03/2020
60,1,02/04/2020
60,3,16/04/2020
60,1,07/05/2020
60,7,14/05/2020
60,4,28/05/2020
60,1,11/06/2020
60,1,12/11/2020
60,1,26/11/2020
63,4,16/01/2020
64,2,17/09/2020
65,2,13/02/2020
65,6,14/05/2020
65,1,17/09/2020
65,1,03/12/2020
67,1,12/03/2020
68,1,16/01/2020
68,1,20/02/2020
70,4,23/01/2020
70,2,30/01/2020
70,4,13/02/2020
70,6,19/03/2020
70,5,07/05/2020
70,2,14/05/2020
70,3,21/05/2020
70,2,28/05/2020
70,2,04/06/2020
70,1,17/09/2020
70,1,08/10/2020
70,6,12/11/2020
70,3,03/12/2020
70,4,10/12/2020
72,1,15/10/2020
73,1,26/03/2020
74,2,11/06/2020
74,2,22/10/2020
75,1,16/01/2020
75,4,19/03/2020
75,1,14/05/2020
75,1,25/06/2020
75,4,29/10/2020
75,2,19/11/2020
76,1,15/10/2020
77,1,04/06/2020
78,1,09/04/2020
80,1,09/01/2020
80,6,13/02/2020
80,6,27/02/2020
80,3,19/03/2020
80,6,26/03/2020
80,6,16/04/2020
80,4,14/05/2020
80,4,21/05/2020
80,5,04/06/2020
80,3,11/06/2020
80,3,17/09/2020
80,2,24/09/2020
80,2,01/10/2020
80,1,15/10/2020
80,4,29/10/2020
80,1,05/11/2020
80,3,03/12/2020
82,1,26/11/2020
83,1,22/10/2020
84,1,20/02/2020
84,1,05/03/2020
85,1,20/02/2020
85,1,02/04/2020
85,2,14/05/2020
85,2,11/06/2020
86,1,03/12/2020
87,2,27/02/2020
87,1,07/05/2020
87,2,04/06/2020
87,3,24/09/2020
88,1,17/09/2020
90,2,23/01/2020
90,1,20/02/2020
90,3,07/05/2020
90,6,14/05/2020
90,2,11/06/2020
90,2,18/06/2020
90,2,17/09/2020
90,2,12/11/2020
90,2,03/12/2020
91,2,19/03/2020
91,1,26/11/2020
92,1,26/11/2020
92,1,03/12/2020
94,1,19/03/2020
94,2,11/06/2020
95,1,09/01/2020
95,2,16/01/2020
95,2,30/01/2020
95,2,27/02/2020
95,5,26/03/2020
95,1,11/06/2020
95,1,05/11/2020
96,1,15/10/2020
97,1,09/01/2020
97,2,14/05/2020
98,1,19/11/2020
99,3,27/02/2020
99,1,25/06/2020
99,1,17/09/2020
99,1,05/11/2020
99,1,26/11/2020
100,7,23/01/2020
100,1,30/01/2020
100,4,27/02/2020
100,10,05/03/2020
100,1,12/03/2020
100,3,26/03/2020
100,1,02/04/2020
100,1,09/04/2020
100,14,16/04/2020
100,1,30/04/2020
100,1,07/05/2020
100,2,04/06/2020
100,3,11/06/2020
100,3,25/06/2020
100,2,17/09/2020
100,1,01/10/2020
100,2,08/10/2020
100,2,26/11/2020
100,4,03/12/2020
101,1,05/03/2020
101,1,30/04/2020
101,1,01/10/2020
102,1,15/10/2020
